"pathway","human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,7,7,7,1,0,0,20,17,17,18,2,0,0
"R-HSA-109581",192,143,145,128,62,72,43,141,133,133,131,37,91,15
"R-HSA-109582",801,513,525,437,135,165,38,334,320,321,309,148,180,64
"R-HSA-109606",64,42,42,37,7,9,3,62,56,56,55,11,24,4
"R-HSA-109703",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-109704",58,29,30,28,8,7,4,6,6,6,6,4,4,4
"R-HSA-110056",13,3,3,4,1,1,1,4,3,3,3,2,2,2
"R-HSA-110312",19,12,12,11,9,12,9,5,5,5,5,5,5,5
"R-HSA-110313",48,33,33,29,22,26,19,28,28,28,28,28,28,27
"R-HSA-110314",30,26,26,24,20,22,16,6,6,6,6,6,6,5
"R-HSA-110320",24,14,14,13,11,14,9,8,8,8,8,8,8,8
"R-HSA-110328",42,24,25,13,3,5,4,21,16,16,13,5,8,6
"R-HSA-110329",51,24,25,13,3,5,4,20,15,15,12,5,8,6
"R-HSA-110330",39,20,21,11,2,3,3,10,8,8,8,2,5,3
"R-HSA-110331",45,20,21,11,2,3,3,9,8,8,8,2,5,3
"R-HSA-110357",10,6,6,5,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,8,8,8,3,5,2,10,10,10,10,8,9,8
"R-HSA-110373",32,23,23,21,16,18,14,19,19,19,19,17,18,14
"R-HSA-110381",7,4,4,4,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,4,8,7,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,1,0,0,1,2,1,1,1,0,0,1
"R-HSA-111447",19,12,12,10,3,3,1,5,4,4,4,2,2,1
"R-HSA-111448",6,4,4,4,1,1,0,5,4,4,4,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,4,4,4,1,0,0,4,4,4,4,2,0,0
"R-HSA-111457",8,4,4,3,0,0,0,4,3,3,3,0,0,0
"R-HSA-111458",13,8,8,8,0,1,0,10,10,10,10,0,1,0
"R-HSA-111459",8,5,5,5,0,2,0,2,2,2,2,0,2,0
"R-HSA-111461",15,10,10,10,0,2,0,12,12,12,12,0,3,0
"R-HSA-111463",7,6,6,6,0,2,0,4,4,4,4,0,4,0
"R-HSA-111464",7,6,6,6,0,2,0,3,3,3,3,0,3,0
"R-HSA-111465",38,34,34,28,13,15,3,38,38,38,38,13,35,3
"R-HSA-111469",8,6,6,6,0,2,0,10,10,10,10,0,10,0
"R-HSA-111471",23,14,14,13,1,3,1,28,27,27,27,2,15,2
