"pathway","Human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","Human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,8,8,7,0,0,0,20,18,18,18,0,0,0
"R-HSA-109581",192,144,146,133,64,75,43,142,133,134,133,70,101,16
"R-HSA-109582",803,513,527,436,152,181,40,338,324,324,311,181,165,88
"R-HSA-109606",64,41,42,39,11,13,2,63,56,57,56,21,32,3
"R-HSA-109703",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-109704",58,29,30,25,9,7,3,6,6,6,6,4,4,3
"R-HSA-110056",13,4,4,4,1,1,1,4,3,3,3,2,2,2
"R-HSA-110312",19,12,12,12,8,11,7,5,5,5,5,5,5,5
"R-HSA-110313",48,33,33,32,21,25,15,28,28,28,28,27,28,25
"R-HSA-110314",30,26,26,26,19,21,13,6,6,6,6,6,6,6
"R-HSA-110320",24,14,14,14,10,13,7,8,8,8,8,8,8,6
"R-HSA-110328",42,27,26,13,3,4,4,21,16,16,13,5,7,6
"R-HSA-110329",51,27,26,13,3,4,4,20,15,15,12,5,7,6
"R-HSA-110330",39,23,22,11,2,2,3,10,8,8,8,2,3,3
"R-HSA-110331",45,23,22,11,2,2,3,9,8,8,8,2,3,3
"R-HSA-110357",10,6,6,5,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,7,8,8,4,5,2,10,10,10,10,9,9,8
"R-HSA-110373",32,22,23,23,17,17,13,19,19,19,19,18,18,14
"R-HSA-110381",7,4,4,4,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,4,7,7,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,2,1,0,0,2,1,1,1,1,0,0
"R-HSA-111447",19,11,12,11,4,3,0,5,4,4,4,2,2,0
"R-HSA-111448",6,4,4,4,1,1,0,5,4,4,4,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,3,4,4,0,0,0,5,4,5,5,0,0,0
"R-HSA-111457",8,4,4,3,1,0,0,4,3,3,3,2,0,0
"R-HSA-111458",13,8,8,8,1,4,0,10,10,10,10,1,9,0
"R-HSA-111459",8,5,5,5,1,4,0,2,2,2,2,1,2,0
"R-HSA-111461",15,10,10,10,2,6,0,12,12,12,12,2,11,0
"R-HSA-111463",7,6,6,6,1,4,0,4,4,4,4,1,4,0
"R-HSA-111464",7,6,6,6,1,4,0,3,3,3,3,1,3,0
"R-HSA-111465",38,34,34,28,14,18,4,38,38,38,38,30,37,4
"R-HSA-111469",8,6,6,6,1,4,0,10,10,10,10,3,10,0
"R-HSA-111471",23,14,14,13,4,7,1,28,27,27,27,9,23,2
"R-HSA-111885",113,85,86,79,25,36,8,59,56,56,57,49,52,18
"R-HSA-111931",26,17,17,18,7,12,3,7,7,7,7,6,6,4
"R-HSA-111932",13,10,10,9,4,5,1,13,13,13,13,11,13,1
"R-HSA-111933",43,32,32,31,11,18,4,23,23,23,23,20,22,5
"R-HSA-111957",8,4,4,3,2,2,0,2,2,2,2,2,2,0
"R-HSA-111995",9,2,2,2,1,1,0,3,1,1,1,1,1,0
"R-HSA-111996",48,34,34,33,12,19,4,27,25,25,25,22,24,5
"R-HSA-111997",43,32,32,31,11,18,4,24,24,24,24,21,23,5
"R-HSA-112040",73,51,51,47,16,25,6,41,39,39,39,36,38,8
"R-HSA-112043",67,46,46,43,16,24,6,32,30,30,30,27,29,8
"R-HSA-112122",8,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112126",11,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112303",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112307",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112308",14,11,11,10,4,3,0,1,1,1,1,1,1,0
"R-HSA-112310",100,49,49,43,29,27,7,37,32,32,31,26,26,16
"R-HSA-112311",36,9,9,8,5,6,0,16,15,15,16,7,7,0
"R-HSA-112313",10,4,4,3,2,3,1,3,3,3,2,2,2,1
"R-HSA-112314",232,168,171,165,67,73,17,110,108,108,108,103,103,28
"R-HSA-112315",344,229,232,219,102,105,25,167,159,159,158,139,139,45
"R-HSA-112316",490,354,359,334,131,141,29,221,213,213,212,177,180,55
"R-HSA-112382",60,55,55,51,44,50,37,2,2,2,2,2,2,2
"R-HSA-112399",65,30,31,25,10,8,4,9,9,9,7,7,7,5
"R-HSA-112409",28,15,15,14,3,4,2,12,11,11,11,9,9,4
"R-HSA-112411",12,3,3,3,1,1,0,3,3,3,3,2,2,0
"R-HSA-112412",10,1,1,0,1,1,1,2,2,2,0,2,2,2
"R-HSA-113418",34,32,32,31,27,32,28,3,3,3,3,3,3,3
"R-HSA-113501",15,10,11,10,7,7,5,3,3,3,3,3,3,2
"R-HSA-113507",9,7,7,7,3,6,4,1,1,1,1,1,1,1
"R-HSA-113510",24,17,18,17,10,13,9,4,4,4,4,4,4,3
"R-HSA-114294",2,1,1,1,1,0,0,4,4,4,4,4,0,0
"R-HSA-114452",36,23,24,22,7,6,1,19,14,14,14,8,9,1
"R-HSA-114508",40,26,26,22,12,10,1,9,9,9,9,7,6,1
"R-HSA-114516",10,5,5,5,2,2,2,2,2,2,2,2,2,2
"R-HSA-114604",43,29,29,21,8,9,3,25,25,25,21,18,18,6
"R-HSA-114608",141,106,110,102,38,52,11,11,10,11,11,9,9,5
"R-HSA-1168372",91,67,67,61,41,51,38,15,14,15,14,7,11,7
"R-HSA-1169091",72,57,57,53,37,44,36,10,9,10,9,5,8,5
"R-HSA-1169092",11,2,2,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-1169408",83,53,54,49,29,40,9,16,16,16,16,12,14,6
"R-HSA-1169410",94,57,59,51,30,42,9,31,21,22,18,13,16,6
"R-HSA-1170546",18,12,11,10,3,3,2,14,14,14,14,3,3,3
"R-HSA-1181150",25,11,11,10,4,4,1,12,12,12,12,8,8,1
"R-HSA-1187000",31,15,25,11,4,2,0,9,8,9,4,4,2,0
"R-HSA-1221632",62,29,28,15,7,7,8,6,6,6,6,6,6,6
"R-HSA-1222387",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222449",17,1,1,1,0,0,0,10,3,3,3,0,0,0
"R-HSA-1222499",73,1,1,1,0,0,0,34,3,3,3,0,0,0
"R-HSA-1222538",38,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222541",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222556",82,32,33,27,18,15,15,45,10,10,5,7,2,2
"R-HSA-1226099",82,45,45,40,21,22,16,99,80,80,80,48,40,9
"R-HSA-1227986",68,29,32,27,11,16,3,46,46,46,45,37,38,14
"R-HSA-1227990",36,14,17,13,6,7,2,62,62,62,60,60,53,39
"R-HSA-1234158",15,5,6,6,1,1,0,7,6,6,6,4,4,0
"R-HSA-1234174",86,67,68,61,41,47,34,20,19,19,19,13,13,9
"R-HSA-1234176",72,60,60,53,40,46,34,12,12,12,12,9,9,9
