"interpro_id","family_names","hierarchy_level","family_branch"
"IPR000008","C2 domain",1,1
"IPR033884","Calpain C2 domain",2,1
"IPR037300","Perforin-1, C2 domain",2,1
"IPR037301","Toll-interacting protein, C2 domain",2,1
"IPR037302","Protein Unc-13, C2B domain",2,1
"IPR037303","Synaptotagmin-like protein 4/5, C2A domain",2,1
"IPR037720","Ferlin, second C2 domain",2,1
"IPR037722","Ferlin, third C2 domain",2,1
"IPR037723","Ferlin, fourth C2 domain",2,1
"IPR037724","Ferlin, fifth C2 domain",2,1
"IPR037725","Ferlin, sixth C2 domain",2,1
"IPR037726","Ferlin, first C2 domain",2,1
"IPR037732","Synaptotagmin 7, C2A domain",2,1
"IPR037733","Extended synaptotagmin, C2A domain",2,1
"IPR037741","Synaptotagmin 7, C2B domain",2,1
"IPR037749","Extended synaptotagmin, C2B domain",2,1
"IPR037752","Extended synaptotagmin, C-terminal C2 domain",2,1
"IPR037756","Tricalbin, C2D domain",2,1
"IPR037761","Tricalbin, C2A domain",2,1
"IPR037762","Tricalbin, C2C domain",2,1
"IPR037765","Tricalbin, C2B domain",2,1
"IPR037767","Mug190-like, C2A domain",2,1
"IPR037768","Copine, C2B domain",2,1
"IPR037772","Freud, C2 domain",2,1
"IPR037775","C2CD3, C2 domain",2,1
"IPR037778","Protein kinase C-like, C2 domain",2,1
"IPR037784","Serine/threonine-protein kinase N, C2 domain",2,1
"IPR037785","C2CD5, C2 domain",2,1
"IPR037786","Tandem C2 domains nuclear protein, C2A domain",2,1
"IPR037788","Tandem C2 domains nuclear protein, C2B domain",2,1
"IPR037791","Ingression protein 1, C2 domain",2,1
"IPR037795","E3 ubiquitin-protein ligase HECW, C2 domain",2,1
"IPR041847","Cytosolic phospholipase A2, C2 domain",2,1
"IPR043567","Synaptotagmin-like 1-5, C2B domain",2,1
"IPR044750","SRC2/BAP, C2 domain",2,1
"IPR000010","Cystatin domain",1,2
"IPR025760","Fetuin-A-type cystatin domain",2,2
"IPR025764","Fetuin-B-type cystatin domain",2,2
"IPR027358","Kininogen-type cystatin domain",2,2
"IPR000011","Ubiquitin/SUMO-activating enzyme E1-like",1,3
"IPR018075","Ubiquitin-activating enzyme E1",2,3
"IPR000014","PAS domain",1,4
"IPR013655","PAS fold-3",2,4
"IPR013656","PAS fold-4",2,4
"IPR013767","PAS fold",2,4
"IPR000020","Anaphylatoxin/fibulin",1,5
"IPR001840","Anaphylatoxin, complement system domain",2,5
"IPR000025","Melatonin receptor family",1,6
"IPR002278","Melatonin receptor 1A/1B",2,6
"IPR002280","Melatonin-related receptor 1X",2,6
"IPR000026","Guanine-specific ribonuclease N1/T1/U2",1,7
"IPR001887","Barnase",2,7
"IPR004025","Fungal ribotoxin",2,7
"IPR000031","PurE domain",1,8
"IPR033626","Class II PurE",2,8
"IPR033747","Class I PurE",2,8
"IPR000039","Ribosomal protein L18e",1,9
"IPR022947","Ribosomal protein L18e, archaea",2,9
"IPR000040","Acute myeloid leukemia 1 protein (AML1)/Runt",1,10
"IPR016554","Runt-related transcription factor RUNX",2,10
"IPR000053","Thymidine/pyrimidine-nucleoside phosphorylase",1,11
"IPR013466","Thymidine phosphorylase/AMP phosphorylase",2,11
"IPR017713","AMP phosphorylase",3,11
"IPR028579","Putative thymidine phosphorylase",3,11
"IPR018090","Pyrimidine-nucleoside phosphorylase, bacterial/eukaryotic",2,11
"IPR013465","Thymidine phosphorylase",3,11
"IPR000056","Ribulose-phosphate 3-epimerase-like",1,12
"IPR026019","Ribulose-phosphate 3-epimerase",2,12
"IPR043677","D-allulose-6-phosphate 3-epimerase",2,12
"IPR000060","BCCT transporter family",1,13
"IPR023449","L-carnitine/gamma-butyrobetaine antiporter CaiT",2,13
"IPR000076","K/Cl co-transporter",1,14
"IPR000622","K/Cl co-transporter 1",2,14
"IPR030354","K/Cl co-transporter 4",2,14
"IPR030358","K/Cl co-transporter 2",2,14
"IPR030364","K/Cl co-transporter 3",2,14
"IPR000079","High mobility group protein HMGN",1,15
"IPR031073","High mobility group protein HMGN3",2,15
"IPR040164","High mobility group nucleosome-binding domain-containing protein 5",2,15
"IPR000086","NUDIX hydrolase domain",1,16
"IPR020476","NUDIX hydrolase",2,16
"IPR033716","Nudix motif 17 domain",2,16
"IPR042970","NUDT18, NUDIX hydrolase domain",2,16
"IPR044099","mRNA decapping enzyme 2 ,  NUDIX hydrolase domain",2,16
"IPR000092","Polyprenyl synthetase",1,17
"IPR014119","Heptaprenyl diphosphate synthase component II",2,17
"IPR033965","Tryptophan prenyltransferase ComQ",2,17
"IPR039702","Farnesyl pyrophosphate synthase-like",2,17
"IPR000095","CRIB domain",1,18
"IPR033923","p21 activated kinase binding domain",2,18
"IPR000109","Proton-dependent oligopeptide transporter family",1,19
"IPR004768","Oligopeptide transporter",2,19
"IPR005279","Dipeptide/tripeptide permease",2,19
"IPR023517","Amino acid/peptide transporter family, dipeptide and tripeptide permease A",3,19
"IPR023777","Amino acid/peptide transporter family, dipeptide permease D",3,19
"IPR023778","Amino acid/peptide transporter family, dipeptide/tripeptide permease B",3,19
"IPR031124","Peptide transporter 3",2,19
"IPR044739","NRT1/PTR family",2,19
"IPR000119","Histone-like DNA-binding protein",1,20
"IPR005684","Integration host factor, alpha subunit",2,20
"IPR005685","Integration host factor, beta subunit",2,20
"IPR005902","Putative DNA-binding protein, HU-related",2,20
"IPR000120","Amidase",1,21
"IPR004412","Glutamyl-tRNA(Gln) amidotransferase A subunit",2,21
"IPR014087","1-carboxybiuret hydrolase, AtzE subunit",2,21
"IPR000131","ATP synthase, F1 complex, gamma subunit",1,22
"IPR017709","Alternate ATP synthase, F1 complex, subunit gamma",2,22
"IPR000146","Fructose-1,6-bisphosphatase class 1",1,23
"IPR023079","Sedoheptulose-1,7-bisphosphatase",2,23
"IPR028343","Fructose-1,6-bisphosphatase",2,23
"IPR000150","Cof family",1,24
"IPR017223","Predicted hydrolase of the HAD superfamily, SPs0319-type",2,24
"IPR023938","HMP-PP phosphatase",2,24
"IPR000156","Ran binding domain",1,25
"IPR045207","NUP50, Ran-binding domain",2,25
"IPR045256","Ran-specific GTPase-activating protein 1, Ran-binding domain",2,25
"IPR000159","Ras-associating (RA) domain",1,26
"IPR037835","SNX27, RA domain",2,26
"IPR000162","GPCR, family 3, metabotropic glutamate receptor",1,27
"IPR000112","GPCR, family 3, metabotropic glutamate receptor 6",2,27
"IPR000144","GPCR, family 3, metabotropic glutamate receptor 8",2,27
"IPR000202","GPCR, family 3, metabotropic glutamate receptor 5",2,27
"IPR001234","GPCR, family 3, metabotropic glutamate receptor 3",2,27
"IPR001256","GPCR, family 3, metabotropic glutamate receptor 1",2,27
"IPR001458","GPCR, family 3, metabotropic glutamate receptor 2",2,27
"IPR001786","GPCR, family 3, metabotropic glutamate receptor 4",2,27
"IPR001883","GPCR, family 3, metabotropic glutamate receptor 7",2,27
"IPR000165","Glucoamylase",1,28
"IPR006425","Glucoamylase, bacterial",2,28
"IPR006465","Oligosaccharide amylase",2,28
"IPR008291","Glucoamylase, starch-binding",2,28
"IPR000174","CXC chemokine receptor 1/2",1,29
"IPR000057","CXC chemokine receptor 2",2,29
"IPR001355","CXC chemokine receptor 1",2,29
"IPR000175","Sodium:neurotransmitter symporter",1,30
"IPR002434","Sodium:neurotransmitter symporter, taurine",2,30
"IPR002435","Sodium:neurotransmitter symporter, noradrenaline",2,30
"IPR002436","Sodium:neurotransmitter symporter, dopamine",2,30
"IPR002438","Neutral amino acid SLC6 transporter",2,30
"IPR002944","Sodium:neurotransmitter symporter, inebriated",2,30
"IPR002980","Sodium:neurotransmitter symporter, GABA, GAT-1",2,30
"IPR002981","Sodium:neurotransmitter symporter, GABA, GAT-2",2,30
"IPR002982","Sodium:neurotransmitter symporter, GABA, GAT-3",2,30
"IPR002983","Sodium:neurotransmitter symporter, betaine",2,30
"IPR002984","Sodium:neurotransmitter symporter, creatine",2,30
"IPR003028","Sodium:neurotransmitter symporter, glycine, type 1",2,30
"IPR000182","GNAT domain",1,31
"IPR040448","PanZ, acetyltransferase (GNAT) domain",2,31
"IPR000183","Ornithine/DAP/Arg decarboxylase",1,32
"IPR002433","Ornithine decarboxylase",2,32
"IPR031173","Antizyme inhibitor 2",3,32
"IPR031178","Antizyme inhibitor 1",3,32
"IPR002985","Arginine decarboxylase",2,32
"IPR002986","Diaminopimelate decarboxylase, LysA",2,32
"IPR017530","Pyridoxal-dependent decarboxylase, exosortase system type 1 associated",2,32
"IPR042152","Uncharacterized protein Y4yA-like",2,32
"IPR000185","Protein translocase subunit SecA",1,33
"IPR022490","Protein translocase subunit SecA2",2,33
"IPR026389","Protein translocase subunit SecA, Actinobacteria-type",2,33
"IPR030908","Protein translocase subunit SecA 2, Bacillus anthracis-type",2,33
"IPR000194","ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",1,34
"IPR033732","ATP synthase, F1 complex, alpha subunit nucleotide-binding domain",2,34
"IPR041703","Transcription termination factor Rho, ATP binding domain",2,34
"IPR000196","Ribosomal protein L19/L19e",1,35
"IPR033935","Ribosomal protein L19, eukaryotic",2,35
"IPR033936","Ribosomal protein L19e, archaeal",2,35
"IPR000198","Rho GTPase-activating protein domain",1,36
"IPR037858","ARAP, RhoGAP domain",2,36
"IPR037860","Chimaerin, RhoGAP domain",2,36
"IPR041852","ARHGAP6/36, RhoGAP domain",2,36
"IPR000204","Orexin receptor family",1,37
"IPR004059","Orexin/Hypocretin receptor type 1",2,37
"IPR004060","Orexin receptor 2",2,37
"IPR000206","Ribosomal protein L7/L12",1,38
"IPR015608","Putative ribosomal protein L7/L12, plants",2,38
"IPR000209","Peptidase S8/S53 domain",1,39
"IPR030400","Sedolisin domain",2,39
"IPR033857","Bacillopeptidase F, peptidase domain",2,39
"IPR034041","STABLE peptidase domain",2,39
"IPR034045","CspA-like domain",2,39
"IPR034051","Tripeptidyl-peptidase II domain",2,39
"IPR034054","PrcA catalytic domain",2,39
"IPR034056","PatG/PatA-like domain",2,39
"IPR034058","TagA/B/C/D, peptidase domain",2,39
"IPR034061","Autotransporter serine protease peptidase domain",2,39
"IPR034063","Fervidolysin domain",2,39
"IPR034065","All0781-like, domain",2,39
"IPR034067","Serine protease KerA-like, domain",2,39
"IPR034073","Subtilisin DY-like, domain",2,39
"IPR034074","Y4bN, peptidase domain",2,39
"IPR034075","Glr3161-like, domain",2,39
"IPR034080","Protease P7-like, domain",2,39
"IPR034084","Thermitase-like, domain",2,39
"IPR034176","Peptidase MprA-like catalytic domain",2,39
"IPR034182","Kexin/furin catalytic domain",2,39
"IPR034185","Site-1 peptidase catalytic domain",2,39
"IPR034187","PoSI-like peptidase domain",2,39
"IPR034190","Subtilisin domain, cyanobacteria-type",2,39
"IPR034193","Proteinase K-like catalytic domain",2,39
"IPR034197","Cucumisin-like catalytic domain",2,39
"IPR034202","Subtilisin Carlsberg-like catalytic domain",2,39
"IPR034204","Subtilisin SUB1-like catalytic domain",2,39
"IPR034213","Vpr-like peptidase,  catalytic domain",2,39
"IPR034216","C5a peptidase-like domain",2,39
"IPR000210","BTB/POZ domain",1,40
"IPR003131","Potassium channel tetramerisation-type BTB domain",2,40
"IPR045904","KCTD15, tetramerisation-type BTB domain",3,40
"IPR030603","Kelch-like protein 18, BTB/POZ domain",2,40
"IPR030606","Kelch-like protein 5, BTB/POZ domain",2,40
"IPR030608","Kelch-like protein 10, BTB/POZ domain",2,40
"IPR039885","BTBD10/KCTD20, BTB/POZ domain",2,40
"IPR042949","KBTBD4, BTB/POZ domain",2,40
"IPR044072","Kelch-like protein 2 , BTB/POZ domain",2,40
"IPR000212","DNA helicase, UvrD/REP type",1,41
"IPR004586","RecBCD enzyme subunit RecB",2,41
"IPR005751","ATP-dependent DNA helicase PcrA",2,41
"IPR005752","ATP-dependent DNA helicase Rep",2,41
"IPR005753","DNA helicase, ATP-dependent, UvrD type",2,41
"IPR014151","DNA helicase, AddA type",2,41
"IPR014152","DNA helicase subunit AddA",2,41
"IPR000215","Serpin family",1,42
"IPR000227","Angiotensinogen",2,42
"IPR000240","Serpin B9/maspin",2,42
"IPR015553","Plasma protease C1 inhibitor",2,42
"IPR015555","Antithrombin-III",2,42
